restaurant_name,restaurant_link
Jook Sing Cafe,https://www.yelp.com/biz/jook-sing-cafe-boston?osq=Restaurants
Beacon Hill Hotel & Bistro,https://www.yelp.com/biz/beacon-hill-hotel-and-bistro-boston-4?osq=Restaurants
Samira’s Homemade,https://www.yelp.com/biz/samiras-homemade-boston?osq=Restaurants
P.F. Chang’s,https://www.yelp.com/biz/p-f-changs-boston-3?osq=Restaurants
Au Bon Pain,https://www.yelp.com/biz/au-bon-pain-boston-17?osq=Restaurants
Falafel King,https://www.yelp.com/biz/falafel-king-boston-4?osq=Restaurants
Zen Japanese Grill & Sushi Bar,https://www.yelp.com/biz/zen-japanese-grill-and-sushi-bar-boston?osq=Restaurants
City Place Boston,https://www.yelp.com/biz/city-place-boston-boston?osq=Restaurants
Brew House,https://www.yelp.com/biz/brew-house-boston?osq=Restaurants
Panificio,https://www.yelp.com/biz/panificio-boston?osq=Restaurants
Dig - Temp. CLOSED,https://www.yelp.com/biz/dig-boston?osq=Restaurants
The Emory,https://www.yelp.com/biz/the-emory-boston?osq=Restaurants
Ma Maison,https://www.yelp.com/biz/ma-maison-boston?osq=Restaurants
Carmelina’s,https://www.yelp.com/biz/carmelinas-boston-2?osq=Restaurants
The Paramount,https://www.yelp.com/biz/the-paramount-boston?osq=Restaurants
Cafe Bonjour,https://www.yelp.com/biz/cafe-bonjour-boston?osq=Restaurants
The Tip Tap Room,https://www.yelp.com/biz/the-tip-tap-room-boston?osq=Restaurants
75 Chestnut,https://www.yelp.com/biz/75-chestnut-boston?osq=Restaurants
Yvonne’s,https://www.yelp.com/biz/yvonnes-boston?osq=Restaurants
Flour Bakery + Café,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-8?osq=Restaurants
Tora Japanese Restaurant,https://www.yelp.com/biz/tora-japanese-restaurant-boston?osq=Restaurants
Neptune Oyster,https://www.yelp.com/biz/neptune-oyster-boston?osq=Restaurants
Mooo Restaurant,https://www.yelp.com/biz/mooo-restaurant-boston?osq=Restaurants
Sam LaGrassa’s,https://www.yelp.com/biz/sam-lagrassas-boston-3?osq=Restaurants
Toscano Restaurant,https://www.yelp.com/biz/toscano-restaurant-boston?osq=Restaurants
The Hill Tavern,https://www.yelp.com/biz/the-hill-tavern-boston?osq=Restaurants
Silvertone,https://www.yelp.com/biz/silvertone-boston?osq=Restaurants
Harvard Gardens,https://www.yelp.com/biz/harvard-gardens-boston?osq=Restaurants
Cafe 26,https://www.yelp.com/biz/cafe-26-boston-2?osq=Restaurants
Peregrine,https://www.yelp.com/biz/peregrine-boston-2?osq=Restaurants
RUKA Restobar,https://www.yelp.com/biz/ruka-restobar-boston?osq=Restaurants
Scampo,https://www.yelp.com/biz/scampo-boston?osq=Restaurants
Stillwater,https://www.yelp.com/biz/stillwater-boston?osq=Restaurants
Banh Mi Ok,https://www.yelp.com/biz/banh-mi-ok-boston-2?osq=Restaurants
