"","CT_ID_10","Guns_2020","PrivateConflict_2020","SocDis_2020","Violence_2020","NUM_REST","PRIVATENEGLECT","PUBLICDENIG_count","PropViol2020_rate","CodeViol2020_rate","AV_LAND_PER_SF.res","AV_LAND_PER_SF.nonres","Buildingpermit_totalcount","Type","ForBorn","White","Black","Hispanic","MedHouseIncome","HomeOwnPer","ListingsFreq.Clist","MedianRent.Clist","ListingsFreq.Airbnb","MedianRent.Airbnb"
"72",25025070200,1.06723585912487,4.8025613660619,6.58128779793668,27.7481323372465,96,21,191,1.77872643187478,330.843116328709,107.894495418642,572.028230328183,38,"D",0.487437185929648,0.360878466406105,0.0429927414852038,0.0327563744649172,28646,0.129826524902071,458,2952,2910,199
"73",25025070300,1.34498991257566,9.41492938802959,8.96659941717104,13.2257341403273,45,58,496,24.6581483972204,477.471418964358,213.744109358256,43.3405720724097,83,"D",0.231011235955056,0.738876404494382,0.0139325842696629,0.0703370786516854,115887,0.470114942528736,186,2395,2479,145
"74",25025070402,0.417014178482068,9.1743119266055,15.8465387823186,27.9399499582986,13,32,53,0,104.253544620517,3.78659996366499,39.0875867179591,18,"D",0.454276194002221,0.333580155497964,0.123657904479822,0.0740466493891151,36333,0.0366568914956012,162,3005,558,195
"75",25025070500,5.18941359626362,8.3030617540218,10.0328662861097,15.9142016952084,32,68,538,10.3788271925272,349.420515481751,136.33045169051,29.1935586104776,58,"R",0.213931199726168,0.497860688002738,0.0693137087112785,0.218552113640253,62717,0.419512195121951,98,2600,1347,175
"76",25025070600,1.17233294255569,3.90777647518562,6.25244236029699,12.8956623681125,9,40,242,3.90777647518562,398.593200468933,431.134055105598,35.0916699390729,45,"R",0.0851063829787234,0.782416700120434,0.0489763147330389,0.0590124448012846,160750,0.672231985940246,117,2300,1056,150
"77",25025070700,2.19138056975895,6.93937180423667,9.13075237399562,25.5661066471877,27,61,184,3.65230094959825,405.405405405405,126.038035013313,41.1311414177888,25,"R",0.196935724962631,0.579222720478326,0.183482810164425,0.086322869955157,134085,0.377536231884058,67,2400,1021,150
"78",25025070800,2.79563880346659,9.50517193178641,10.9029913335197,19.8490355046128,9,98,344,0,696.114062063181,131.759964161671,17.8197743626682,43,"R",0.142896858493189,0.645537948290242,0.153739227133723,0.104253544620517,94653,0.324790537210448,132,2169,982,167
"79",25025070900,4.27198291206835,17.7999288002848,18.1559273762905,41.2958348166607,10,71,334,14.2399430402278,815.236739053044,80.8842819156653,32.0268805865953,36,"R",0.162196679438059,0.515644955300128,0.206257982120051,0.191570881226054,53000,0.359281437125749,225,2200,905,125
"80",25025071101,15.3846153846154,11.8881118881119,21.2121212121212,118.181818181818,23,115,384,13.986013986014,685.314685314685,58.5305998168202,40.8960229298036,38,"I",0.284673366834171,0.505025125628141,0.123869346733668,0.119346733668342,73995,0.387187941592087,1069,2890,797,160
"81",25025071201,5.35618639528656,7.23085163363685,9.37332619175147,45.5275843599357,15,28,60,8.03427959292983,45.5275843599357,11.9997335510651,46.5928093558075,24,"R",0.230748446365847,0.405295865982167,0.152121048365307,0.296406376654958,55179,0.310091743119266,78,3197.5,545,200
